Ir. szám	Név	Megyekód	Járás	KSH kód	Jogállás	Terület	Népesség	Lakások
3100	Salgótarján	NO	Salgótarjáni	25788	1	9300	31223	18056
3121	Somoskőújfalu	NO	Salgótarjáni	01526	6	1017	2043	1069
3123	Cered	NO	Salgótarjáni	03665	6	3858	988	548
3124	Zabar	NO	Salgótarjáni	21661	6	1817	471	220
3125	Szilaspogony	NO	Salgótarjáni	07959	6	1440	317	167
3126	Bárna	NO	Salgótarjáni	20048	6	1539	888	453
3127	Kazár	NO	Salgótarjáni	28389	6	3039	1637	761
3128	Vizslás	NO	Salgótarjáni	10320	6	1012	1149	538
3129	Lucfalva	NO	Salgótarjáni	20190	6	1410	595	214
3129	Nagykeresztúr	NO	Salgótarjáni	34281	6	820	243	102
3131	Sóshartyán	NO	Salgótarjáni	14881	6	1214	860	301
3132	Nógrádmegyer	NO	Szécsényi	12131	6	2277	1555	575
3133	Magyargéc	NO	Szécsényi	26967	6	1235	776	287
3134	Piliny	NO	Szécsényi	11590	6	1604	553	273
3135	Szécsényfelfalu	NO	Szécsényi	33011	6	822	387	220
3136	Etes	NO	Salgótarjáni	15370	6	1580	1314	686
3137	Karancsberény	NO	Salgótarjáni	25548	6	2314	684	379
3138	Ipolytarnóc	NO	Salgótarjáni	03328	6	1366	420	199
3142	Mátraszele	NO	Salgótarjáni	24332	6	1697	889	465
3143	Mátranovák	NO	Bátonyterenyei	19372	6	2697	1521	1042
3145	Mátraterenye	NO	Bátonyterenyei	33525	6	2813	1662	875
3151	Rákóczibánya	NO	Salgótarjáni	34360	6	457	495	301
3152	Nemti	NO	Bátonyterenyei	27580	6	1106	664	428
3153	Dorogháza	NO	Bátonyterenyei	24439	6	1768	976	564
3154	Szuha	NO	Bátonyterenyei	28194	6	1756	565	372
3155	Mátramindszent	NO	Bátonyterenyei	20075	6	1673	708	425
3161	Kishartyán	NO	Salgótarjáni	33400	6	895	520	252
3162	Ságújfalu	NO	Salgótarjáni	12520	6	1203	948	374
3163	Karancsság	NO	Salgótarjáni	26897	6	2139	1229	413
3163	Szalmatercs	NO	Szécsényi	19798	6	758	458	187
3165	Endrefalva	NO	Szécsényi	25496	6	1323	1119	444
3170	Szécsény	NO	Szécsényi	06628	4	4567	5255	2475
3175	Nagylóc	NO	Szécsényi	21102	6	3912	1397	683
3176	Hollókő	NO	Szécsényi	33242	6	518	311	218
3177	Rimóc	NO	Szécsényi	28884	6	2925	1555	675
3178	Varsány	NO	Szécsényi	29498	6	2558	1489	630
3179	Nógrádsipek	NO	Szécsényi	19497	6	2012	625	303
3181	Karancsalja	NO	Salgótarjáni	18625	6	1254	1415	625
3182	Karancslapujtő	NO	Salgótarjáni	21041	6	1935	2400	1036
3183	Karancskeszi	NO	Salgótarjáni	08855	6	3168	1670	798
3184	Mihálygerge	NO	Salgótarjáni	13222	6	1106	505	282
3185	Egyházasgerge	NO	Salgótarjáni	05980	6	1537	681	359
3186	Litke	NO	Salgótarjáni	04871	6	1816	738	328
3187	Nógrádszakál	NO	Szécsényi	27340	6	1872	588	249
3188	Ludányhalászi	NO	Szécsényi	02778	6	2113	1417	469
3200	Gyöngyös	HE	Gyöngyösi	05236	4	5526	27887	14883
3211	Gyöngyösoroszi	HE	Gyöngyösi	13338	6	2139	1462	559
3212	Gyöngyöshalász	HE	Gyöngyösi	17534	6	2719	2538	1074
3213	Atkár	HE	Gyöngyösi	16090	6	3376	1721	741
3214	Nagyréde	HE	Gyöngyösi	31486	5	3434	3131	1259
3231	Gyöngyössolymos	HE	Gyöngyösi	19123	6	6485	2816	1250
3235	Mátraszentimre	HE	Gyöngyösi	29045	6	2129	457	319
3240	Parád	HE	Pétervásárai	07436	5	3720	1866	1100
3242	Parádsasvár	HE	Pétervásárai	20215	6	1694	331	253
3243	Bodony	HE	Pétervásárai	14933	6	2896	680	449
3245	Recsk	HE	Pétervásárai	09609	5	4537	2495	1284
3246	Mátraderecske	HE	Pétervásárai	14872	6	1399	1706	1006
3247	Mátraballa	HE	Pétervásárai	19965	6	2636	676	424
3248	Ivád	HE	Pétervásárai	13879	6	1194	339	183
3250	Pétervására	HE	Pétervásárai	12070	4	3387	2062	896
3252	Erdőkövesd	HE	Pétervásárai	28556	6	1718	641	300
3253	Istenmezeje	HE	Pétervásárai	10074	6	3279	1277	695
3254	Váraszó	HE	Pétervásárai	27012	6	2705	478	227
3255	Fedémes	HE	Pétervásárai	12432	6	862	289	170
3256	Kisfüzes	HE	Pétervásárai	22460	6	481	115	81
3257	Bükkszenterzsébet	HE	Pétervásárai	10621	6	2486	959	457
3258	Tarnalelesz	HE	Pétervásárai	13240	6	3713	1532	621
3259	Szentdomonkos	HE	Pétervásárai	13231	6	1840	463	208
3261	Abasár	HE	Gyöngyösi	24554	6	2082	2498	1176
3261	Pálosvörösmart	HE	Gyöngyösi	34324	6	584	578	285
3262	Markaz	HE	Gyöngyösi	16540	6	2561	1699	957
3263	Domoszló	HE	Gyöngyösi	07515	6	4022	1828	960
3264	Kisnána	HE	Gyöngyösi	12502	6	2260	925	519
3265	Vécs	HE	Gyöngyösi	05759	6	2566	611	371
3271	Visonta	HE	Gyöngyösi	31246	6	2529	1154	512
3273	Halmajugra	HE	Gyöngyösi	11411	6	2168	1304	431
3274	Ludas	HE	Gyöngyösi	15796	6	1079	694	371
3275	Detk	HE	Gyöngyösi	09201	6	2808	1086	524
3281	Karácsond	HE	Gyöngyösi	05935	6	3160	2794	1248
3282	Nagyfüged	HE	Gyöngyösi	26879	6	2751	1746	695
3283	Tarnazsadány	HE	Hevesi	17163	6	2519	1259	443
3284	Tarnaméra	HE	Hevesi	23348	6	2826	1515	723
3291	Vámosgyörk	HE	Gyöngyösi	14580	6	2182	1884	775
3292	Adács	HE	Gyöngyösi	23241	6	3794	2544	1193
3293	Visznek	HE	Gyöngyösi	03513	6	2273	1077	530
3294	Tarnaörs	HE	Hevesi	14128	6	3028	1788	707
3295	Erk	HE	Hevesi	20118	6	2168	956	312
3296	Zaránk	HE	Hevesi	23445	6	1453	456	293
3300	Eger	HE	Egri	20491	1	9221	50018	27217
3321	Egerbakta	HE	Egri	12821	6	3237	1420	525
3322	Hevesaranyos	HE	Egri	10241	6	1702	585	257
3323	Szarvaskő	HE	Egri	03382	6	1259	322	198
3324	Felsőtárkány	HE	Egri	16328	6	7732	3488	1305
3325	Noszvaj	HE	Egri	18810	6	1884	1877	786
3326	Ostoros	HE	Egri	27216	6	2351	2865	1121
3327	Novaj	HE	Egri	29276	6	1852	1300	562
3328	Egerszólát	HE	Egri	13648	6	2610	1037	447
3331	Tarnaszentmária	HE	Egri	09052	6	1100	224	180
3332	Sirok	HE	Pétervásárai	08527	6	6339	1629	963
3333	Terpes	HE	Pétervásárai	12229	6	220	202	98
3334	Szajla	HE	Pétervásárai	16063	6	870	592	327
3335	Bükkszék	HE	Pétervásárai	02963	6	1530	653	432
3336	Bátor	HE	Egri	24022	6	2732	377	202
3337	Egerbocs	HE	Egri	26019	6	1595	489	266
3341	Egercsehi	HE	Egri	16610	6	1039	1256	635
3341	Szúcs	HE	Egri	13523	6	849	360	164
3343	Bekölce	HE	Bélapátfalvai	04400	6	1377	621	342
3344	Mikófalva	HE	Bélapátfalvai	31282	6	1441	648	314
3345	Mónosbél	HE	Bélapátfalvai	31565	6	1378	391	143
3346	Bélapátfalva	HE	Bélapátfalvai	33260	4	3663	2753	1298
3346	Bükkszentmárton	HE	Bélapátfalvai	22099	6	826	306	121
3347	Balaton	HE	Bélapátfalvai	11527	6	1320	943	439
3348	Szilvásvárad	HE	Bélapátfalvai	05643	6	3782	1406	748
3349	Nagyvisnyó	HE	Bélapátfalvai	28282	6	4302	825	496
3350	Kál	HE	Füzesabonyi	32179	5	3481	3407	1344
3351	Verpelét	HE	Egri	24147	4	5318	3709	1552
3352	Feldebrő	HE	Egri	20747	6	2652	998	546
3353	Aldebrő	HE	Füzesabonyi	06345	6	2178	673	347
3354	Tófalu	HE	Füzesabonyi	09964	6	1448	554	264
3355	Kápolna	HE	Füzesabonyi	15307	6	2151	1458	554
3356	Kompolt	HE	Füzesabonyi	23995	6	2273	1869	741
3357	Nagyút	HE	Füzesabonyi	10418	6	1894	667	338
3358	Erdőtelek	HE	Hevesi	24235	6	4490	3254	1363
3359	Tenk	HE	Hevesi	14076	6	1234	1126	464
3360	Heves	HE	Hevesi	14526	4	9931	9923	4081
3368	Boconád	HE	Hevesi	22354	6	2956	1214	626
3369	Tarnabod	HE	Hevesi	32966	6	1033	739	176
3371	Átány	HE	Hevesi	06503	6	5044	1436	517
3372	Kömlő	HE	Hevesi	14535	6	4922	1916	656
3373	Besenyőtelek	HE	Füzesabonyi	27517	6	4910	2488	1054
3374	Dormánd	HE	Füzesabonyi	30261	6	2006	935	376
3375	Mezőtárkány	HE	Füzesabonyi	31662	6	4061	1514	656
3377	Szihalom	HE	Füzesabonyi	11013	6	3417	1986	983
3378	Mezőszemere	HE	Füzesabonyi	25089	6	2148	1041	576
3379	Egerfarmos	HE	Füzesabonyi	02981	6	2380	678	320
3381	Pély	HE	Hevesi	19567	6	9030	1308	627
3382	Tarnaszentmiklós	HE	Hevesi	16160	6	3500	766	392
3383	Hevesvezekény	HE	Hevesi	04084	6	1978	614	289
3384	Kisköre	HE	Hevesi	18281	4	6842	2598	1256
3385	Tiszanána	HE	Hevesi	07083	6	6814	2315	995
3386	Sarud	HE	Füzesabonyi	07180	6	5162	1010	598
3387	Újlőrincfalva	HE	Füzesabonyi	27623	6	4808	196	126
3388	Poroszló	HE	Füzesabonyi	22196	6	10904	2683	1443
3390	Füzesabony	HE	Füzesabonyi	03276	4	4634	7170	3084
3394	Egerszalók	HE	Egri	24758	6	2311	1964	810
3395	Demjén	HE	Egri	08660	6	2508	916	330
3396	Kerecsend	HE	Egri	28079	6	2458	2241	743
3397	Maklár	HE	Egri	27696	6	2801	2424	968
3398	Nagytálya	HE	Egri	27605	6	1319	874	355
3399	Andornaktálya	HE	Egri	17987	6	1675	2645	1052
3400	Mezőkövesd	BZ	Mezőkövesdi	19433	4	10049	15588	7638
3411	Szomolya	BZ	Mezőkövesdi	18892	6	2269	1485	706
3412	Bogács	BZ	Mezőkövesdi	25195	6	2469	1886	1191
3413	Cserépfalu	BZ	Mezőkövesdi	06974	6	4465	950	616
3414	Bükkzsérc	BZ	Mezőkövesdi	32887	6	3724	910	507
3416	Tard	BZ	Mezőkövesdi	08165	6	4047	1056	561
3417	Cserépváralja	BZ	Mezőkövesdi	25575	6	1462	347	218
3418	Szentistván	BZ	Mezőkövesdi	22169	5	5107	2335	1112
3421	Mezőnyárád	BZ	Mezőkövesdi	11749	6	1406	1512	689
3422	Bükkábrány	BZ	Mezőkövesdi	13596	6	1802	1571	688
3423	Tibolddaróc	BZ	Mezőkövesdi	30447	6	3032	1200	652
3424	Kács	BZ	Mezőkövesdi	32993	6	1669	438	345
3425	Sály	BZ	Mezőkövesdi	04729	6	2557	1549	648
3426	Borsodgeszt	BZ	Mezőkövesdi	16124	6	1506	276	164
3431	Vatta	BZ	Mezőkövesdi	30076	6	2334	806	366
3432	Emőd	BZ	Miskolci	04677	4	4937	4750	1915
3433	Nyékládháza	BZ	Miskolci	12885	4	2467	5030	2012
3434	Mályi	BZ	Miskolci	27395	6	1128	4303	1740
3441	Mezőkeresztes	BZ	Mezőkövesdi	11323	4	7426	3545	1613
3442	Csincse	BZ	Mezőkövesdi	34111	6	1134	501	212
3443	Mezőnagymihály	BZ	Mezőkövesdi	18379	6	6186	902	490
3444	Gelej	BZ	Mezőcsáti	23719	6	3212	551	233
3450	Mezőcsát	BZ	Mezőcsáti	13833	4	10309	5657	2400
3458	Tiszakeszi	BZ	Mezőcsáti	13888	6	4617	2459	1028
3459	Igrici	BZ	Mezőcsáti	25399	6	1947	1103	437
3461	Egerlövő	BZ	Mezőkövesdi	05865	6	1978	484	279
3462	Borsodivánka	BZ	Mezőkövesdi	06707	6	1589	629	248
3463	Négyes	BZ	Mezőkövesdi	24156	6	1732	248	219
3464	Tiszavalk	BZ	Mezőkövesdi	10977	6	1154	301	178
3465	Tiszabábolna	BZ	Mezőkövesdi	02291	6	3269	281	278
3466	Tiszadorogma	BZ	Mezőcsáti	03717	6	4661	342	249
3467	Ároktő	BZ	Mezőcsáti	03823	6	4641	1056	452
3500	Miskolc	BZ	Miskolci	30456	1	23667	145248	79052
3551	Ónod	BZ	Miskolci	22628	6	1774	2299	795
3552	Muhi	BZ	Tiszaújvárosi	02158	6	962	475	206
3553	Kistokaj	BZ	Miskolci	12399	6	976	2444	856
3554	Bükkaranyos	BZ	Miskolci	27890	6	2620	1496	535
3555	Harsány	BZ	Miskolci	05847	6	3653	1951	809
3556	Kisgyőr	BZ	Miskolci	22840	6	7113	1572	644
3557	Bükkszentkereszt	BZ	Miskolci	08022	6	2697	1133	582
3559	Répáshuta	BZ	Miskolci	31884	6	1679	434	192
3561	Felsőzsolca	BZ	Miskolci	02848	4	1625	6405	2237
3562	Onga	BZ	Miskolci	22558	4	3149	4712	1573
3563	Hernádkak	BZ	Miskolci	24165	6	1090	1558	560
3564	Hernádnémeti	BZ	Miskolci	31200	5	2876	3502	1197
3565	Tiszalúc	BZ	Szerencsi	28398	5	4488	4755	1797
3571	Alsózsolca	BZ	Miskolci	21032	4	2602	5590	1876
3572	Sajólád	BZ	Miskolci	27173	6	1268	2868	967
3573	Sajópetri	BZ	Miskolci	16638	6	928	1419	480
3574	Bőcs	BZ	Miskolci	05306	6	2432	2641	934
3575	Berzék	BZ	Miskolci	26356	6	1059	1001	340
3576	Sajóhídvég	BZ	Miskolci	03081	6	1344	1027	314
3577	Köröm	BZ	Miskolci	26602	6	834	1388	329
3578	Girincs	BZ	Tiszaújvárosi	21564	6	1120	891	286
3578	Kiscsécs	BZ	Tiszaújvárosi	17349	6	413	191	50
3579	Kesznyéten	BZ	Tiszaújvárosi	29249	6	3641	1847	631
3580	Tiszaújváros	BZ	Tiszaújvárosi	28352	4	4604	15479	7483
3586	Sajóörös	BZ	Tiszaújvárosi	08129	6	844	1490	579
3587	Tiszapalkonya	BZ	Tiszaújvárosi	08633	6	1349	1431	616
3588	Hejőkürt	BZ	Tiszaújvárosi	02282	6	1491	275	141
3589	Tiszatarján	BZ	Mezőcsáti	30377	6	4039	1320	482
3591	Oszlár	BZ	Tiszaújvárosi	02866	6	571	315	180
3592	Nemesbikk	BZ	Tiszaújvárosi	05245	6	2410	885	371
3593	Hejőbába	BZ	Tiszaújvárosi	06655	6	1872	1890	548
3594	Hejőpapi	BZ	Mezőcsáti	16780	6	1702	1024	391
3595	Hejőszalonta	BZ	Tiszaújvárosi	12159	6	1096	767	237
3596	Szakáld	BZ	Tiszaújvárosi	03805	6	1140	441	223
3597	Hejőkeresztúr	BZ	Tiszaújvárosi	04604	6	1028	980	407
3598	Nagycsécs	BZ	Tiszaújvárosi	05582	6	983	753	283
3599	Sajószöged	BZ	Tiszaújvárosi	30340	6	1362	2325	1003
3600	Ózd	BZ	Ózdi	14492	4	9226	30865	14272
3608	Farkaslyuk	BZ	Ózdi	34272	6	502	1922	538
3622	Uppony	BZ	Ózdi	18351	6	1281	274	209
3623	Borsodszentgyörgy	BZ	Ózdi	30207	6	2152	1041	467
3626	Hangony	BZ	Ózdi	25104	6	3914	1424	570
3627	Domaháza	BZ	Ózdi	25690	6	2882	796	312
3627	Kissikátor	BZ	Ózdi	14702	6	1038	296	130
3630	Putnok	BZ	Putnoki	27410	4	3472	6363	2417
3635	Dubicsány	BZ	Putnoki	27669	6	1300	246	115
3636	Sajógalgóc	BZ	Kazincbarcikai	10171	6	1006	308	135
3636	Vadna	BZ	Kazincbarcikai	07223	6	787	631	265
3641	Nagybarca	BZ	Kazincbarcikai	29188	6	1439	833	354
3642	Bánhorváti	BZ	Kazincbarcikai	25159	6	2848	1263	567
3643	Dédestapolcsány	BZ	Kazincbarcikai	04686	6	2943	1304	738
3644	Tardona	BZ	Kazincbarcikai	14784	6	1230	969	426
3645	Mályinka	BZ	Kazincbarcikai	14915	6	2421	448	247
3646	Nekézseny	BZ	Ózdi	28033	6	1410	624	330
3647	Csokvaomány	BZ	Ózdi	14289	6	1500	729	400
3648	Bükkmogyorósd	BZ	Ózdi	19406	6	990	119	106
3648	Csernely	BZ	Ózdi	28459	6	2062	719	383
3648	Lénárddaróc	BZ	Ózdi	07038	6	516	252	155
3652	Sajónémeti	BZ	Putnoki	11332	6	739	432	212
3653	Sajópüspöki	BZ	Putnoki	23782	6	945	468	196
3654	Bánréve	BZ	Putnoki	21953	6	662	1148	530
3655	Hét	BZ	Putnoki	08004	6	371	432	206
3656	Sajómercse	BZ	Putnoki	15945	6	1118	180	125
3656	Sajóvelezd	BZ	Putnoki	27757	6	2302	705	297
3657	Királd	BZ	Putnoki	32090	6	789	614	412
3658	Borsodbóta	BZ	Ózdi	30669	6	813	785	324
3659	Sáta	BZ	Ózdi	02875	6	1646	1060	479
3663	Arló	BZ	Ózdi	14331	5	4687	3573	1124
3664	Járdánháza	BZ	Ózdi	26657	6	1124	1680	633
3671	Borsodnádasd	BZ	Ózdi	05315	4	2808	2852	1333
3700	Kazincbarcika	BZ	Kazincbarcikai	06691	4	3664	24373	13037
3704	Berente	BZ	Kazincbarcikai	34290	6	922	1048	385
3711	Szirmabesenyő	BZ	Miskolci	09496	5	1575	4356	1659
3712	Sajósenye	BZ	Miskolci	08970	6	847	419	143
3712	Sajóvámos	BZ	Miskolci	20738	6	3122	2013	785
3713	Arnót	BZ	Miskolci	03771	6	1754	2260	819
3714	Sajópálfala	BZ	Miskolci	18537	6	711	694	290
3715	Gesztely	BZ	Miskolci	15608	6	2882	2623	936
3716	Sóstófalva	BZ	Miskolci	13268	6	728	220	100
3716	Újcsanálos	BZ	Miskolci	12487	6	1220	777	312
3717	Alsódobsza	BZ	Szerencsi	19664	6	1068	281	137
3718	Megyaszó	BZ	Szerencsi	21768	6	5342	2577	828
3720	Sajóivánka	BZ	Kazincbarcikai	03212	6	1023	608	238
3720	Sajókaza	BZ	Kazincbarcikai	14313	6	3072	2995	958
3721	Dövény	BZ	Putnoki	06123	6	1165	272	118
3721	Felsőnyárád	BZ	Putnoki	32762	6	1167	904	376
3721	Jákfalva	BZ	Putnoki	20233	6	906	472	141
3722	Felsőkelecsény	BZ	Putnoki	31723	6	799	350	136
3723	Zubogy	BZ	Putnoki	19105	6	1143	445	221
3724	Imola	BZ	Putnoki	16577	6	1812	84	66
3724	Ragály	BZ	Putnoki	06053	6	1554	571	236
3724	Trizs	BZ	Putnoki	04914	6	1025	168	103
3726	Alsószuha	BZ	Putnoki	28839	6	2242	410	165
3726	Szuhafő	BZ	Putnoki	03160	6	1605	100	81
3726	Zádorfalva	BZ	Putnoki	03063	6	1375	437	162
3728	Gömörszőlős	BZ	Putnoki	09706	6	877	71	50
3728	Kelemér	BZ	Putnoki	12034	6	1881	425	177
3729	Serényfalva	BZ	Putnoki	32531	6	1964	895	364
3731	Szuhakálló	BZ	Kazincbarcikai	11110	6	696	951	378
3732	Kurityán	BZ	Kazincbarcikai	11819	6	754	1471	602
3733	Rudabánya	BZ	Kazincbarcikai	23029	4	1646	2268	1105
3734	Szuhogy	BZ	Edelényi	24606	6	1700	1014	435
3735	Alsótelekes	BZ	Kazincbarcikai	08217	6	644	130	93
3735	Felsőtelekes	BZ	Kazincbarcikai	31671	6	845	666	284
3735	Kánó	BZ	Putnoki	07764	6	1378	144	86
3741	Izsófalva	BZ	Kazincbarcikai	05591	5	941	1671	623
3742	Rudolftelep	BZ	Kazincbarcikai	34120	6	439	699	300
3743	Ormosbánya	BZ	Kazincbarcikai	34069	6	754	1459	638
3744	Múcsony	BZ	Kazincbarcikai	21546	5	1755	2705	1187
3751	Szendrőlád	BZ	Edelényi	27456	6	1770	2209	434
3752	Galvács	BZ	Edelényi	19293	6	1504	84	70
3752	Szendrő	BZ	Edelényi	08077	4	5356	4004	1386
3753	Abod	BZ	Edelényi	10357	6	3116	145	128
3754	Meszes	BZ	Edelényi	11758	6	1140	154	117
3754	Szalonna	BZ	Edelényi	16753	6	2008	993	404
3755	Martonyi	BZ	Edelényi	02024	6	1757	321	180
3756	Perkupa	BZ	Edelényi	33419	6	1939	797	360
3756	Varbóc	BZ	Edelényi	10144	6	1010	54	59
3757	Égerszög	BZ	Edelényi	13356	6	1077	44	46
3757	Szőlősardó	BZ	Edelényi	07889	6	1066	107	87
3757	Teresztenye	BZ	Edelényi	28635	6	869	27	30
3758	Jósvafő	BZ	Putnoki	15680	6	2155	225	168
3759	Aggtelek	BZ	Putnoki	09362	6	4382	456	241
3761	Szin	BZ	Edelényi	20871	6	1810	824	241
3761	Szinpetri	BZ	Edelényi	11493	6	971	192	99
3761	Tornakápolna	BZ	Edelényi	10375	6	402	18	35
3762	Szögliget	BZ	Edelényi	16179	6	3474	533	391
3763	Bódvaszilas	BZ	Edelényi	05926	6	1922	934	445
3764	Bódvarákó	BZ	Edelényi	33303	6	922	79	79
3765	Komjáti	BZ	Edelényi	10612	6	1108	194	135
3765	Tornabarakony	BZ	Edelényi	16902	6	819	26	42
3765	Tornaszentandrás	BZ	Edelényi	27836	6	1565	165	131
3767	Tornanádaska	BZ	Edelényi	18801	6	783	777	124
3768	Becskeháza	BZ	Edelényi	27049	6	500	42	29
3768	Bódvalenke	BZ	Edelényi	27429	6	663	296	56
3768	Hidvégardó	BZ	Edelényi	25672	6	1699	493	288
3769	Tornaszentjakab	BZ	Edelényi	30517	6	2822	210	126
3770	Sajószentpéter	BZ	Kazincbarcikai	16054	4	3485	11274	4445
3773	Sajókápolna	BZ	Miskolci	21670	6	1051	363	152
3773	Sajólászlófalva	BZ	Miskolci	22479	6	662	447	148
3775	Kondó	BZ	Miskolci	32498	6	1963	498	213
3776	Radostyán	BZ	Miskolci	21193	6	810	535	221
3777	Parasznya	BZ	Miskolci	26745	6	1676	1087	435
3778	Varbó	BZ	Miskolci	21810	6	2588	1036	420
3779	Alacska	BZ	Kazincbarcikai	33093	6	856	670	267
3780	Balajt	BZ	Edelényi	22521	6	903	523	143
3780	Damak	BZ	Edelényi	11350	6	753	224	104
3780	Edelény	BZ	Edelényi	10728	4	5682	9259	3474
3780	Ládbesenyő	BZ	Edelényi	26231	6	1040	265	125
3786	Hegymeg	BZ	Edelényi	02468	6	570	106	55
3786	Irota	BZ	Edelényi	05005	6	1234	75	61
3786	Lak	BZ	Edelényi	15857	6	1976	630	197
3786	Szakácsi	BZ	Edelényi	32258	6	863	203	59
3787	Tomor	BZ	Edelényi	14890	6	1289	210	106
3791	Sajókeresztúr	BZ	Miskolci	26949	6	1640	1537	575
3792	Sajóbábony	BZ	Miskolci	03504	4	1343	2559	1082
3793	Sajóecseg	BZ	Miskolci	27331	6	794	979	426
3794	Boldva	BZ	Edelényi	08396	6	2834	2375	798
3794	Ziliz	BZ	Edelényi	19275	6	926	369	129
3795	Hangács	BZ	Edelényi	11226	6	2253	546	238
3795	Nyomár	BZ	Edelényi	04215	6	1046	274	131
3796	Borsodszirák	BZ	Edelényi	16799	6	1101	1188	379
3800	Szikszó	BZ	Szikszói	21351	4	3623	5513	2119
3809	Abaújszolnok	BZ	Szikszói	26338	6	867	216	50
3809	Nyésta	BZ	Szikszói	04419	6	689	46	28
3809	Selyeb	BZ	Szikszói	25380	6	1664	525	163
3811	Alsóvadász	BZ	Szikszói	29814	6	2290	1542	439
3812	Homrogd	BZ	Szikszói	21236	6	1343	911	316
3812	Monaj	BZ	Szikszói	09016	6	1153	249	99
3813	Kupa	BZ	Szikszói	18722	6	784	148	79
3814	Felsővadász	BZ	Szikszói	23533	6	1864	555	164
3815	Abaújlak	BZ	Szikszói	02820	6	706	81	75
3815	Gadna	BZ	Szikszói	05494	6	809	318	61
3816	Gagyvendégi	BZ	Szikszói	03744	6	1232	210	98
3817	Gagybátor	BZ	Szikszói	28307	6	1877	202	73
3821	Büttös	BZ	Encsi	23977	6	1818	146	97
3821	Kány	BZ	Encsi	25742	6	921	55	46
3821	Keresztéte	BZ	Encsi	17066	6	397	26	26
3821	Krasznokvajda	BZ	Encsi	19576	6	1144	457	201
3821	Pamlény	BZ	Szikszói	12371	6	1240	55	42
3821	Perecse	BZ	Encsi	32683	6	1254	16	30
3821	Szászfa	BZ	Szikszói	08147	6	1213	99	82
3825	Debréte	BZ	Edelényi	31954	6	962	15	29
3825	Rakaca	BZ	Edelényi	29717	6	1900	798	261
3825	Viszló	BZ	Edelényi	03957	6	1110	61	61
3826	Rakacaszend	BZ	Edelényi	16133	6	1571	252	157
3831	Kázsmárk	BZ	Szikszói	13374	6	1248	966	284
3832	Léh	BZ	Szikszói	03531	6	843	421	156
3833	Rásonysápberencs	BZ	Szikszói	31909	6	912	509	187
3834	Beret	BZ	Encsi	29674	6	677	325	91
3834	Detek	BZ	Encsi	10524	6	968	252	124
3836	Baktakék	BZ	Encsi	18184	6	1879	786	267
3837	Alsógagy	BZ	Encsi	14429	6	628	91	51
3837	Csenyéte	BZ	Encsi	08493	6	997	526	72
3837	Felsőgagy	BZ	Encsi	29708	6	1447	208	79
3837	Gagyapáti	BZ	Encsi	28732	6	323	33	16
3841	Aszaló	BZ	Szikszói	04233	6	2536	1883	620
3842	Halmaj	BZ	Szikszói	27942	6	1259	1704	583
3843	Kiskinizs	BZ	Szikszói	03762	6	717	331	123
3844	Nagykinizs	BZ	Szikszói	26505	6	658	297	122
3844	Szentistvánbaksa	BZ	Szikszói	08484	6	656	244	129
3846	Hernádkércs	BZ	Szikszói	21829	6	741	318	140
3847	Felsődobsza	BZ	Gönci	09742	6	1523	825	315
3848	Csobád	BZ	Encsi	05333	6	1183	680	260
3849	Forró	BZ	Encsi	30483	6	1903	2704	800
3851	Ináncs	BZ	Encsi	08086	6	1094	1167	406
3852	Hernádszentandrás	BZ	Encsi	17136	6	704	470	143
3853	Hernádbűd	BZ	Gönci	15839	6	591	109	83
3853	Pere	BZ	Gönci	24420	6	953	345	161
3854	Gibárt	BZ	Gönci	20969	6	533	331	138
3855	Fancsal	BZ	Encsi	12557	6	977	319	153
3860	Encs	BZ	Encsi	33048	4	2580	6165	2193
3863	Szalaszend	BZ	Encsi	31015	6	1822	1002	366
3864	Fulókércs	BZ	Encsi	22123	6	1860	472	117
3865	Fáj	BZ	Encsi	02741	6	1933	452	81
3866	Litka	BZ	Encsi	28219	6	666	34	37
3866	Szemere	BZ	Encsi	09830	6	2630	391	140
3871	Méra	BZ	Encsi	25618	6	1512	1522	561
3872	Novajidrány	BZ	Encsi	27191	6	1431	1322	436
3873	Garadna	BZ	Encsi	10904	6	975	362	188
3874	Hernádpetri	BZ	Encsi	24882	6	1708	213	107
3874	Hernádvécse	BZ	Encsi	19840	6	1694	1095	294
3874	Pusztaradvány	BZ	Encsi	15413	6	714	194	70
3875	Hernádszurdok	BZ	Gönci	24970	6	448	207	93
3876	Hidasnémeti	BZ	Gönci	11697	6	1607	1017	449
3877	Tornyosnémeti	BZ	Gönci	29054	6	1406	553	256
3881	Abaújszántó	BZ	Gönci	03595	4	4739	2718	1162
3881	Baskó	BZ	Gönci	08846	6	2964	151	103
3881	Sima	BZ	Gönci	23418	6	488	37	28
3882	Abaújalpár	BZ	Gönci	15662	6	848	64	54
3882	Abaújkér	BZ	Gönci	26718	6	1727	572	277
3884	Boldogkőújfalu	BZ	Gönci	18944	6	1098	659	203
3885	Arka	BZ	Gönci	26198	6	949	49	72
3885	Boldogkőváralja	BZ	Gönci	14474	6	2199	1002	426
3886	Korlát	BZ	Gönci	22956	6	791	290	136
3887	Hernádcéce	BZ	Gönci	09399	6	991	235	125
3888	Vizsoly	BZ	Gönci	21087	6	1840	921	309
3891	Vilmány	BZ	Gönci	11581	6	1251	1436	398
3892	Hejce	BZ	Gönci	22187	6	952	219	190
